HMDB ID;Name;Chemical Formula;Monoisotopic Mass;Average Mass;
HMDB63949;TG(20:0/13:0/21:0);C57H110O6;890.8302413;891.501;
HMDB63950;TG(i-20:0/19:0/i-13:0);C55H106O6;862.7989411;863.447;
HMDB63951;TG(19:0/i-22:0/i-21:0);C65H126O6;1002.955442;1003.717;
HMDB63952;TG(i-20:0/16:0/i-24:0);C63H122O6;974.9241416;975.663;
HMDB63953;TG(20:0/a-17:0/i-16:0);C56H108O6;876.8145912;877.474;
HMDB63954;TG(i-20:0/i-18:0/12:0);C53H102O6;834.767641;835.393;
HMDB63955;TG(20:0/i-18:0/13:0);C54H104O6;848.7832911;849.42;
HMDB63956;TG(19:0/i-21:0/i-14:0);C57H110O6;890.8302413;891.501;
HMDB63957;TG(20:0/19:0/a-13:0);C55H106O6;862.7989411;863.447;
HMDB63958;TG(i-20:0/16:0/16:0);C55H106O6;862.7989411;863.447;
HMDB63959;TG(i-20:0/8:0/i-14:0);C45H86O6;722.6424405;723.177;
HMDB63960;TG(20:0/19:0/a-21:0);C63H122O6;974.9241416;975.663;
HMDB63961;TG(20:0/i-17:0/13:0);C53H102O6;834.767641;835.393;
HMDB63962;TG(20:0/i-14:0/i-22:0);C59H114O6;918.8615414;919.555;
HMDB63963;TG(19:0/i-22:0/i-22:0);C66H128O6;1016.971092;1017.744;
HMDB63964;TG(20:0/a-15:0/a-17:0);C55H106O6;862.7989411;863.447;
HMDB63965;TG(i-20:0/i-12:0/a-25:0);C60H116O6;932.8771915;933.582;
HMDB63966;TG(19:0/a-25:0/13:0);C60H116O6;932.8771915;933.582;
HMDB63967;TG(i-19:0/i-24:0/8:0);C54H104O6;848.7832911;849.42;
HMDB63968;TG(i-20:0/14:0/a-17:0);C54H104O6;848.7832911;849.42;
HMDB63969;TG(i-20:0/a-17:0/18:0);C58H112O6;904.8458913;905.528;
HMDB63970;TG(i-19:0/i-20:0/i-24:0);C66H128O6;1016.971092;1017.744;
HMDB63971;TG(i-20:0/i-17:0/20:0);C60H116O6;932.8771915;933.582;
HMDB63972;TG(20:0/12:0/22:0);C57H110O6;890.8302413;891.501;
HMDB63973;TG(20:0/i-17:0/19:0);C59H114O6;918.8615414;919.555;
HMDB63974;TG(i-20:0/12:0/12:0);C47H90O6;750.6737406;751.231;
HMDB63975;TG(i-19:0/a-25:0/20:0);C67H130O6;1030.986742;1031.771;
HMDB63976;TG(i-20:0/i-15:0/17:0);C55H106O6;862.7989411;863.447;
HMDB63977;TG(20:0/18:0/10:0);C51H98O6;806.7363409;807.339;
HMDB63978;TG(i-20:0/i-12:0/14:0);C49H94O6;778.7050407;779.285;
HMDB63979;TG(19:0/21:0/22:0);C65H126O6;1002.955442;1003.717;
HMDB63980;TG(20:0/i-14:0/14:0);C51H98O6;806.7363409;807.339;
HMDB63981;TG(i-20:0/10:0/12:0);C45H86O6;722.6424405;723.177;
HMDB63982;TG(i-19:0/21:0/i-20:0);C63H122O6;974.9241416;975.663;
HMDB63983;TG(20:0/i-19:0/14:0);C56H108O6;876.8145912;877.474;
HMDB63984;TG(19:0/21:0/13:0);C56H108O6;876.8145912;877.474;
HMDB63985;TG(20:0/i-12:0/i-12:0);C47H90O6;750.6737406;751.231;
HMDB63986;TG(20:0/20:0/15:0);C58H112O6;904.8458913;905.528;
HMDB63987;TG(i-20:0/16:0/a-21:0);C60H116O6;932.8771915;933.582;
HMDB63988;TG(i-19:0/22:0/i-14:0);C58H112O6;904.8458913;905.528;
HMDB63989;TG(i-19:0/i-24:0/i-12:0);C58H112O6;904.8458913;905.528;
HMDB63990;TG(20:0/13:0/17:0);C53H102O6;834.767641;835.393;
HMDB63991;TG(20:0/18:0/14:0);C55H106O6;862.7989411;863.447;
HMDB63992;TG(i-20:0/13:0/i-15:0);C51H98O6;806.7363409;807.339;
HMDB63993;TG(19:0/a-25:0/i-12:0);C59H114O6;918.8615414;919.555;
