# ID will be use to load map from url			
# subsystem name_id must be a valid name in the subsystem table			
# filename must be a .svg with only [a-zA-Z0-9_] characters			
#NAME_ID	subsystem name_id	name	filename
#sce00910_nitrogen_metabolism	sce00910_nitrogen_metabolism	Nitrogen metabolism	nitrogen_metabolism.svg
sce04122_sulfur_relay_system	sce04122_sulfur_relay_system	Sulfur relay system	sulfur_relay_system.svg
sce00562_inositol_phosphate_metabolism	sce00562_inositol_phosphate_metabolism	Inositol phosphate metabolism	inositol_phosphate_metabolism.svg
#sce00062_fatty_acid_elongation	sce00062_fatty_acid_elongation	Fatty acid elongation	fatty_acid_elongation.svg
#sce00909_sesquiterpenoid_and_triterpenoid_biosynthesis	sce00909_sesquiterpenoid_and_triterpenoid_biosynthesis	Sesquiterpenoid and triterpenoid biosynthesis	sesquiterpenoid_and_triterpenoid_biosynthesis.svg
#sce04145_phagosome	sce04145_phagosome	Phagosome	phagosome.svg
#sce02010_abc_transporters	sce02010_abc_transporters	ABC transporters	abc_transporters.svg
#sce04136_autophagy_other	sce04136_autophagy_other	Autophagy - other	autophagy_other.svg
#sce04139_mitophagy_yeast	sce04139_mitophagy_yeast	Mitophagy - yeast	mitophagy_yeast.svg
#sce04144_endocytosis	sce04144_endocytosis	Endocytosis	endocytosis.svg
#sce04933_age_rage_signaling_pathway_in_diabetic_complications	sce04933_age_rage_signaling_pathway_in_diabetic_complications	AGE-RAGE signaling pathway in diabetic complications	age_rage_signaling_pathway_in_diabetic_complications.svg
