# ID will be use to load map from url
# subsystem name_id must be a valid name in the subsystem table
# filename must be a .svg with only [a-zA-Z0-9_] characters

#NAME_ID	subsystem name_id	name	filename
sphingolipid_metabolism	sphingolipid_metabolism	Sphingolipid metabolism	sphingolipid_metabolism.svg
metabolism_of_other_amino_acids	metabolism_of_other_amino_acids	Metabolism of other amino acids	metabolism_of_other_amino_acids.svg
phenylalanine_tyrosine_and_tryptophan_biosynthesis	phenylalanine_tyrosine_and_tryptophan_biosynthesis	Phenylalanine, tyrosine and tryptophan biosynthesis	phenylalanine_tyrosine_and_tryptophan_biosynthesis.svg
protein_modification	protein_modification	Protein modification	protein_modification.svg
retinol_metabolism	retinol_metabolism	Retinol metabolism	retinol_metabolism.svg
pyrimidine_metabolism	pyrimidine_metabolism	Pyrimidine metabolism	pyrimidine_metabolism.svg
riboflavin_metabolism	riboflavin_metabolism	Riboflavin metabolism	riboflavin_metabolism.svg
glycerolipid_metabolism	glycerolipid_metabolism	Glycerolipid metabolism	glycerolipid_metabolism.svg
glycine_serine_and_threonine_metabolism	glycine_serine_and_threonine_metabolism	Glycine, serine and threonine metabolism	glycine_serine_and_threonine_metabolism.svg
coa_catabolism	coa_catabolism	CoA catabolism	coa_catabolism.svg
vitamin_a_metabolism	vitamin_a_metabolism	Vitamin A metabolism	vitamin_a_metabolism.svg
urea_cycle	urea_cycle	Urea cycle	urea_cycle.svg
triglycerides_formation	triglycerides_formation	Triglycerides formation	triglycerides_formation.svg
acylglycerides_metabolism	acylglycerides_metabolism	Acylglycerides metabolism	acylglycerides_metabolism.svg
aminoacyl_trna_biosynthesis	aminoacyl_trna_biosynthesis	Aminoacyl-tRNA biosynthesis	aminoacyl_trna_biosynthesis.svg
ascorbate_and_aldarate_metabolism	ascorbate_and_aldarate_metabolism	Ascorbate and aldarate metabolism	ascorbate_and_aldarate_metabolism.svg
biopterin_metabolism	biopterin_metabolism	Biopterin metabolism	biopterin_metabolism.svg
blood_group_biosynthesis	blood_group_biosynthesis	Blood group biosynthesis	blood_group_biosynthesis.svg
c5_branched_dibasic_acid_metabolism	c5_branched_dibasic_acid_metabolism	C5-branched dibasic acid metabolism	c5_branched_dibasic_acid_metabolism.svg
cholesterol_metabolism	cholesterol_metabolism	Cholesterol metabolism	cholesterol_metabolism.svg
chondroitin_heparan_sulfate_biosynthesis	chondroitin_heparan_sulfate_biosynthesis	Chondroitin / heparan sulfate biosynthesis	chondroitin_heparan_sulfate_biosynthesis.svg
chondroitin_sulfate_degradation	chondroitin_sulfate_degradation	Chondroitin sulfate degradation	chondroitin_sulfate_degradation.svg
ether_lipid_metabolism	ether_lipid_metabolism	Ether lipid metabolism	ether_lipid_metabolism.svg
fatty_acid_biosynthesis_odd_chain	fatty_acid_biosynthesis_odd_chain	Fatty acid biosynthesis (odd-chain)	fatty_acid_biosynthesis_odd_chain.svg
fatty_acid_desaturation_even_chain	fatty_acid_desaturation_even_chain	Fatty acid desaturation (even-chain)	fatty_acid_desaturation_even_chain.svg
fatty_acid_elongation_odd_chain	fatty_acid_elongation_odd_chain	Fatty acid elongation (odd-chain)	fatty_acid_elongation_odd_chain.svg
glycosphingolipid_biosynthesis_globo_series	glycosphingolipid_biosynthesis_globo_series	Glycosphingolipid biosynthesis-globo series	glycosphingolipid_biosynthesis_globo_series.svg
glycosphingolipid_biosynthesis_lacto_and_neolacto_series	glycosphingolipid_biosynthesis_lacto_and_neolacto_series	Glycosphingolipid biosynthesis-lacto and neolacto series	glycosphingolipid_biosynthesis_lacto_and_neolacto_series.svg
glycosylphosphatidylinositol_gpi_anchor_biosynthesis	glycosylphosphatidylinositol_gpi_anchor_biosynthesis	Glycosylphosphatidylinositol (GPI)-anchor biosynthesis	glycosylphosphatidylinositol_gpi_anchor_biosynthesis.svg
heparan_sulfate_degradation	heparan_sulfate_degradation	Heparan sulfate degradation	heparan_sulfate_degradation.svg
keratan_sulfate_biosynthesis	keratan_sulfate_biosynthesis	Keratan sulfate biosynthesis	keratan_sulfate_biosynthesis.svg
keratan_sulfate_degradation	keratan_sulfate_degradation	Keratan sulfate degradation	keratan_sulfate_degradation.svg
lipoic_acid_metabolism	lipoic_acid_metabolism	Lipoic acid metabolism	lipoic_acid_metabolism.svg
metabolism_of_xenobiotics_by_cytochrome_p450	metabolism_of_xenobiotics_by_cytochrome_p450	Metabolism of xenobiotics by cytochrome P450	metabolism_of_xenobiotics_by_cytochrome_p450.svg
n_glycan_metabolism	n_glycan_metabolism	N-glycan metabolism	n_glycan_metabolism.svg
nucleotide_metabolism	nucleotide_metabolism	Nucleotide metabolism	nucleotide_metabolism.svg
omega_3_fatty_acid_metabolism	omega_3_fatty_acid_metabolism	Omega-3 fatty acid metabolism	omega_3_fatty_acid_metabolism.svg
tricarboxylic_acid_cycle_and_glyoxylate_dicarboxylate_metabolism	tricarboxylic_acid_cycle_and_glyoxylate_dicarboxylate_metabolism	Tricarboxylic acid cycle and glyoxylate/dicarboxylate metabolism	tricarboxylic_acid_cycle_and_glyoxylate_dicarboxylate_metabolism.svg
tryptophan_metabolism	tryptophan_metabolism	Tryptophan metabolism	tryptophan_metabolism.svg
valine_leucine_and_isoleucine_metabolism	valine_leucine_and_isoleucine_metabolism	Valine, leucine, and isoleucine metabolism	valine_leucine_and_isoleucine_metabolism.svg
vitamin_b6_metabolism	vitamin_b6_metabolism	Vitamin B6 metabolism	vitamin_b6_metabolism.svg
vitamin_e_metabolism	vitamin_e_metabolism	Vitamin E metabolism	vitamin_e_metabolism.svg
miscellaneous	miscellaneous	Miscellaneous	miscellaneous.svg
